nid,nseq,eid,x,y,epsg
121985,2,175627,663.117552183095,218.353940388782,3364
121985,3,182102,663.117552183095,218.353940388782,3364
121986,1,178168,384.931113840192,205.48643653744,3364
121986,2,175569,384.931113840192,205.48643653744,3364
121986,3,178172,384.931113840192,205.48643653744,3364
121987,1,178170,378.374128593799,209.820445013414,3364
121987,2,178169,378.374128593799,209.820445013414,3364
121987,3,178171,378.374128593799,209.820445013414,3364
121988,1,178172,379.010895353593,214.491490413857,3364
121988,2,178171,379.010895353593,214.491490413857,3364
121988,3,182397,379.010895353593,214.491490413857,3364
121989,1,178173,524.299102674287,292.439769709927,3364
121989,2,182133,524.299102674287,292.439769709927,3364
121989,3,178174,524.299102674287,292.439769709927,3364
121990,1,178176,524.302246849596,292.679741158192,3364
121990,2,178174,524.302246849596,292.679741158192,3364
121991,1,178127,527.926544031542,293.433405016566,3364
121991,2,178176,527.926544031542,293.433405016566,3364
121991,3,178175,527.926544031542,293.433405016566,3364
121992,1,178178,810.2375636308,70.6351043448568,3364
121992,2,178180,810.2375636308,70.6351043448568,3364
121992,3,180626,810.2375636308,70.6351043448568,3364
121993,1,180355,810.727153620192,69.7033897649403,3364
121993,2,178177,810.727153620192,69.7033897649403,3364
121993,3,178179,810.727153620192,69.7033897649403,3364
121994,1,178179,810.57875362851,69.793772950168,3364
121994,2,179303,810.57875362851,69.793772950168,3364
121994,3,178180,810.57875362851,69.793772950168,3364
121995,1,182130,750.284644594645,110.283769416593,3364
121995,2,178183,750.284644594645,110.283769416593,3364
121995,3,178181,750.284644594645,110.283769416593,3364
121996,1,178184,747.828952209997,111.203311896182,3364
121996,2,181899,747.828952209997,111.203311896182,3364
121996,3,178182,747.828952209997,111.203311896182,3364
121997,1,178186,747.964985647894,111.512402595457,3364
121997,2,178184,747.964985647894,111.512402595457,3364
121997,3,175770,747.964985647894,111.512402595457,3364
121998,1,178185,750.160544021589,111.926621673578,3364
121998,2,176726,750.160544021589,111.926621673578,3364
121998,3,181318,750.160544021589,111.926621673578,3364
121999,1,180452,753.665015804132,112.07298403747,3364
121999,2,178187,753.665015804132,112.07298403747,3364
121999,3,176725,753.665015804132,112.07298403747,3364
