rn,D04,R04,D08,R08,D12,R12,D16,R16
1345,527,512,557,449,702,528,574,555
1346,1908,1874,2200,1478,2661,1985,2229,1972
1347,964,802,1047,570,1369,825,949,876
1348,1178,1172,1269,901,766,656,642,701
1349,832,998,1006,746,0,0,226,295
1350,470,551,517,445,1373,1163,1067,1181
1351,240,347,266,302,79,112,67,116
1352,477,694,515,588,658,806,509,846
1353,1419,2166,1715,1881,1451,1888,1067,1542
1354,786,1263,1103,1136,1079,1306,918,1191
1355,902,1569,1392,1692,1374,1877,1252,1952
1356,872,1476,1010,1308,800,1151,638,1192
1357,787,1225,926,1005,1176,1394,915,1608
1358,932,1263,1062,1067,718,859,514,1034
1359,1011,1907,1211,1641,1432,1973,1080,2119
1360,847,1480,1052,1259,510,832,366,892
1361,726,1262,969,1187,1075,1677,903,1830
1362,1722,2559,2309,2283,2243,2426,1181,1736
1363,602,614,676,453,568,507,323,381
1364,1305,1551,1440,1181,1270,1259,688,897
1365,1334,1241,1593,922,1892,1587,1384,1495
1366,581,471,649,357,937,644,761,742
1367,887,778,1013,574,872,667,1446,1371
1368,787,714,847,534,701,481,522,488
1369,1073,821,1168,606,550,378,409,389
1370,205,200,230,159,297,262,242,221
1372,1622,1638,1866,1299,1773,1559,1360,1317
1373,1056,1114,1169,862,1159,1020,926,867
1374,1782,1986,2231,1704,1861,1636,1619,1648
1375,485,653,618,617,267,235,253,249
1376,1510,1608,1769,1306,2048,1987,1871,2252
1377,611,788,791,714,973,1167,887,1221
1378,1094,1169,1315,956,1014,1227,677,1453
1379,474,703,643,551,515,719,404,784
1380,1658,1864,1956,1393,2088,2169,1541,1989
1381,921,1129,1166,903,767,843,774,1116
1382,947,1155,1116,892,860,958,845,1136
1383,1506,1856,1881,1524,1570,1693,1324,1589
1384,649,972,889,811,679,1060,536,1165
1385,731,924,823,730,648,889,470,1027
1386,678,839,738,719,591,797,455,865
1387,1308,1257,1426,1070,1160,1121,887,1188
1388,679,584,702,445,645,651,475,795
1389,1412,1190,1500,969,1360,1219,1001,1200
1390,1126,1154,1269,905,1142,1007,864,1147
1391,2113,2125,2373,1706,2251,2032,1835,2484
1392,1411,1767,1681,1488,1605,1810,1092,1712
1393,1424,1355,1538,1094,839,854,565,1076
1394,1214,1178,1316,954,1522,1577,1094,1794
