rn,D16,R16
1026,141.0,797.0
1027,129.0,734.0
1028,363.0,1147.0
1029,329.0,1422.0
1030,361.0,1872.0
1031,209.0,987.0
1032,390.0,2283.0
1033,281.0,1487.0
1034,581.0,2499.0
1036,207.0,1002.0
1037,643.0,2643.0
1039,1141.0,5787.0
1040,595.0,2752.0
1042,480.0,1824.0
1043,242.0,1118.0
1044,281.0,1382.0
1045,627.0,3146.0
1048,620.0,1719.0
1049,2057.0,706.0
1054,1412.0,111.0
1055,1610.0,35.0
1056,2470.0,69.0
1057,968.0,611.0
1060,1230.0,72.0
1062,2918.0,727.0
1065,1857.0,102.0
1070,397.0,123.0
1072,1122.0,1215.0
1073,1190.0,440.0
1074,881.0,327.0
1076,1951.0,615.0
1077,837.0,171.0
1078,1329.0,380.0
1083,1811.0,608.0
1087,963.0,19.0
1089,1328.0,24.0
1090,1824.0,25.0
1093,979.0,22.0
1096,1299.0,145.0
1097,1552.0,120.0
1100,1043.0,15.0
1102,1816.0,31.0
1105,1946.0,983.0
1109,1239.0,18.0
1110,1033.0,43.0
1111,1332.0,30.0
1112,2145.0,75.0
1113,1355.0,232.0
1115,1968.0,54.0
1117,2390.0,2963.0
1118,888.0,1317.0
1119,1083.0,1324.0
1123,911.0,1210.0
1124,1230.0,979.0
1126,1390.0,2064.0
1127,902.0,1215.0
1132,2367.0,141.0
1134,2629.0,277.0
1135,1751.0,150.0
1136,1541.0,179.0
1138,816.0,61.0
1139,1692.0,132.0
1142,1354.0,209.0
1143,1954.0,193.0
1145,2005.0,153.0
1147,790.0,45.0
1149,1490.0,44.0
1151,1116.0,54.0
1152,1960.0,448.0
1154,530.0,12.0
1155,1337.0,325.0
1156,1492.0,604.0
1157,1006.0,1994.0
1159,338.0,578.0
1160,520.0,443.0
1162,1230.0,1720.0
1163,587.0,25.0
1164,2191.0,222.0
1165,1875.0,227.0
1168,2739.0,743.0
1169,2060.0,319.0
1170,2141.0,614.0
1171,921.0,147.0
1172,1514.0,367.0
1173,869.0,204.0
1174,649.0,2137.0
1175,862.0,1918.0
1176,407.0,1531.0
1177,449.0,1699.0
1179,2450.0,3514.0
1180,2516.0,4120.0
1182,686.0,1420.0
1185,697.0,2200.0
1186,1423.0,4429.0
1187,417.0,1155.0
1188,509.0,1205.0
1189,910.0,2718.0
1190,3503.0,1711.0
1191,1715.0,3958.0
1192,735.0,559.0
1193,1278.0,1037.0
1195,914.0,1008.0
1197,2102.0,1276.0
1199,996.0,861.0
1200,929.0,672.0
1201,1631.0,1144.0
1202,1451.0,1376.0
1203,3178.0,2488.0
1205,1283.0,1565.0
1207,1301.0,1209.0
1209,2150.0,2510.0
1211,838.0,1317.0
1212,1881.0,1049.0
1215,645.0,1567.0
1216,2013.0,1653.0
1217,695.0,1592.0
1218,1409.0,3445.0
1219,1010.0,2811.0
1221,1094.0,2248.0
1222,915.0,2125.0
1223,2130.0,275.0
1224,4204.0,3679.0
1225,670.0,2167.0
1226,902.0,2914.0
1227,511.0,2075.0
1228,328.0,1338.0
1229,645.0,2571.0
1233,1597.0,118.0
1235,1061.0,269.0
1236,763.0,38.0
1237,2477.0,167.0
1239,1773.0,200.0
1240,3918.0,317.0
1241,2284.0,162.0
1243,2966.0,196.0
1244,1990.0,116.0
1247,2225.0,111.0
1248,1858.0,64.0
1252,2444.0,67.0
1253,1819.0,77.0
1254,1347.0,35.0
1255,2101.0,74.0
1256,2098.0,28.0
1257,1308.0,23.0
1259,2239.0,80.0
1260,1592.0,31.0
1261,2587.0,35.0
1262,2997.0,102.0
1263,1648.0,79.0
1264,5418.0,383.0
1265,3509.0,73.0
1268,756.0,12.0
1269,1715.0,1391.0
1270,601.0,2197.0
1271,235.0,425.0
1272,211.0,619.0
1273,183.0,567.0
1274,459.0,1686.0
1275,301.19718309859155,983.1295002686727
1276,191.47535211267606,539.8387963460505
1277,439.9630281690141,1208.4083825900054
1278,148.44718309859155,570.9833422890919
1279,140.91725352112675,561.6399785061794
1280,605.0,1121.0
1286,768.0,2349.0
1287,615.0,2114.0
1288,1314.0,2953.0
1291,927.0,4096.0
1292,405.0,1053.0
1294,582.0,2491.0
1296,335.0,1466.0
1298,494.0,2287.0
1300,706.0,3349.0
1301,237.0,1239.0
1303,390.0,1493.0
1304,504.0,1641.0
1306,786.0,2107.0
1308,577.0,1756.0
1310,322.0,1661.0
1311,230.0,1302.0
1312,336.0,1789.0
1313,565.0,2331.0
1314,421.0,2039.0
1316,811.0,3623.0
1317,230.0,1013.0
1318,418.0,1706.0
1319,372.0,1588.0
1322,468.0,1680.0
1327,390.0,1660.0
1328,460.0,1453.0
1329,250.0,1065.0
1330,514.0,2362.0
1333,508.0,2386.0
1334,1083.0,2481.0
1336,675.0,691.0
1337,679.0,2137.0
1339,629.0,2061.0
1340,603.0,1114.0
1343,770.0,1179.0
1344,523.0,1242.0
1345,968.0,2197.0
1346,388.0,1038.0
1347,305.0,1119.0
1349,870.0,3208.0
1350,998.0,2582.0
1352,787.0,1749.0
1355,1576.0,2981.0
1357,882.0,2720.0
1358,2472.0,7334.0
1359,991.0,2102.0
1361,438.0,1870.0
1363,734.0,2789.0
1364,660.0,1733.0
1365,425.0,2202.0
1366,255.0,2131.0
1367,501.0,1932.0
1369,1100.0,860.0
1372,829.0,1642.0
1373,843.0,1751.0
1374,740.0,1790.0
1375,206.0,313.0
1376,156.0,802.0
1377,500.0,2134.0
1378,606.0,2735.0
1380,293.45842217484005,1538.6442646753785
1381,231.9616204690832,1286.0466708151835
1382,343.08742004264394,1479.9493880937564
1383,143.49253731343282,748.3596764156814
1384,212.0,804.0
1385,327.0,1016.0
1386,309.0,803.0
1387,635.0,1829.0
1388,308.0,946.0
1389,391.0,1013.0
1390,272.0,527.0
1391,511.0,955.0
1392,354.0,1112.0
1393,572.0,1684.0
1394,183.0,671.0
1395,674.0,587.0
1396,1523.0,2836.0
1397,335.0,1055.0
1398,638.0,1252.0
1399,1247.0,1345.0
1400,750.0,648.0
1402,375.0,513.0
1404,384.0,801.0
1405,714.0,1337.0
1406,501.0,984.0
1407,888.0,2619.0
1408,882.0,2550.0
1409,657.0,3295.0
1410,439.0,2135.0
1411,321.0,1777.0
1412,118.0,248.0
1413,1437.0,4618.0
1414,340.0,1727.0
1415,475.0,2283.0
1416,326.0,1642.0
1418,230.0,1232.0
1419,227.0,1446.0
1420,135.0,1088.0
1421,125.0,1270.0
1423,405.0,761.0
1424,381.0,1063.0
1425,748.0,1542.0
1428,246.0,1242.0
1429,307.0,986.0
1430,203.0,1134.0
1431,263.0,1060.0
1432,219.0,1220.0
1433,248.0,1166.0
1434,540.0,2596.0
1435,235.0,1176.0
1436,301.0,938.0
1437,301.0,786.0
1438,220.0,1009.0
1439,818.0,1588.0
1441,2851.0,7273.0
1442,1049.0,2044.0
1443,938.0,1612.0
1444,1187.0,2291.0
1446,842.0,1585.0
1447,1024.0,2015.0
1448,1161.0,2865.0
1450,668.0,1520.0
1454,896.0,1800.0
1455,675.0,1428.0
1456,1671.0,3495.0
1457,551.0,1540.0
1458,576.0,1657.0
1460,501.0,1271.0
1461,2663.0,5696.0
1462,1146.0,1794.0
1463,795.0,1475.0
1464,843.0,937.0
1465,859.0,861.0
1466,846.0,1460.0
1468,1213.0,2323.0
1470,918.0,2884.0
1471,976.0,1907.0
1472,726.0,1627.0
1473,560.0,2263.0
1474,1232.0,3708.0
1475,2828.0,7293.0
1476,1268.5675908016333,3668.0222032450897
1477,864.6045562003009,3309.0720182180476
