rn,state,cid,tract,pop,white,black,hispanic
334,48,29,171302,4724.0,4156.0,87.0,3880.0
335,48,29,171401,4750.0,4219.0,102.0,4485.0
336,48,29,171402,5780.0,4829.0,2.0,5508.0
337,48,29,171501,2641.0,2048.0,283.0,2207.0
338,48,29,171502,4992.0,4316.0,295.0,4441.0
339,48,29,171601,4609.0,4159.0,59.0,4269.0
340,48,29,171602,3048.0,2666.0,174.0,2711.0
341,48,29,171700,7851.0,6281.0,566.0,6001.0
342,48,29,171801,6225.0,5363.0,93.0,5206.0
343,48,29,171802,6453.0,5417.0,704.0,5123.0
344,48,29,171902,12443.0,8586.0,2171.0,8572.0
345,48,29,171903,7593.0,6563.0,309.0,5986.0
346,48,29,171912,6569.0,4988.0,762.0,3957.0
347,48,29,171913,5547.0,4140.0,736.0,4051.0
348,48,29,171914,5652.0,4609.0,441.0,3838.0
349,48,29,171915,2303.0,1896.0,204.0,1366.0
350,48,29,171916,7830.0,5108.0,685.0,5062.0
351,48,29,171917,9982.0,6552.0,2010.0,5057.0
352,48,29,171918,6172.0,4991.0,237.0,3415.0
353,48,29,171919,4194.0,3415.0,527.0,3046.0
354,48,29,171920,8852.0,7505.0,663.0,6880.0
355,48,29,171921,5299.0,3965.0,317.0,3758.0
356,48,29,171922,3409.0,2893.0,87.0,2670.0
357,48,29,171923,10278.0,8081.0,1013.0,5986.0
358,48,29,171924,5533.0,4142.0,754.0,2336.0
359,48,29,171925,9700.0,6667.0,648.0,5255.0
360,48,29,172002,10857.0,8864.0,858.0,6181.0
361,48,29,172003,6027.0,4202.0,719.0,2874.0
362,48,29,172004,3951.0,3064.0,334.0,1324.0
363,48,29,172005,6688.0,5026.0,289.0,3197.0
364,48,29,172006,7751.0,6196.0,695.0,3188.0
365,48,29,172007,10590.0,8456.0,775.0,4850.0
366,48,29,180101,5012.0,4351.0,105.0,4177.0
367,48,29,180102,1924.0,1594.0,17.0,1428.0
368,48,29,180201,4616.0,3240.0,174.0,3682.0
369,48,29,180202,4879.0,4265.0,281.0,3480.0
370,48,29,180300,4291.0,3780.0,56.0,3893.0
371,48,29,180400,4488.0,4125.0,158.0,3872.0
372,48,29,180501,4918.0,4164.0,426.0,3945.0
373,48,29,180503,4640.0,4188.0,139.0,4110.0
374,48,29,180504,4782.0,4354.0,264.0,4275.0
375,48,29,180602,3356.0,2799.0,129.0,2424.0
376,48,29,180603,2025.0,1863.0,55.0,1483.0
377,48,29,180604,6387.0,5287.0,217.0,4497.0
378,48,29,180701,3711.0,2953.0,372.0,1670.0
379,48,29,180702,7300.0,5961.0,1045.0,4075.0
380,48,29,180800,2349.0,1540.0,145.0,1770.0
381,48,29,180901,5519.0,4236.0,99.0,4242.0
382,48,29,180902,7419.0,5263.0,0.0,6279.0
383,48,29,181001,4285.0,3842.0,177.0,2902.0
384,48,29,181003,6467.0,4667.0,1045.0,2876.0
385,48,29,181004,5285.0,4215.0,397.0,2704.0
386,48,29,181005,4028.0,3119.0,431.0,2244.0
387,48,29,181100,6214.0,5014.0,315.0,3480.0
388,48,29,181200,4610.0,4350.0,112.0,1820.0
389,48,29,181301,4541.0,3622.0,240.0,2488.0
390,48,29,181302,6269.0,4917.0,538.0,3412.0
391,48,29,181303,3654.0,2173.0,238.0,1318.0
392,48,29,181402,2443.0,1709.0,405.0,818.0
393,48,29,181403,7179.0,4971.0,926.0,3579.0
394,48,29,181404,5197.0,2682.0,508.0,1316.0
395,48,29,181503,7014.0,6049.0,623.0,3405.0
396,48,29,181504,5952.0,4648.0,599.0,3020.0
397,48,29,181505,4786.0,4499.0,49.0,2848.0
398,48,29,181506,4263.0,3619.0,212.0,2656.0
